no_below,no_above,allowed_postags,custom_remove,num_topics,coherence_cv,coherence_umass,vocab_size
6,0.5,,,3,0.5837722577464204,-2.522963849957818,289
6,0.6,,,3,0.5837722577464204,-2.522963849957818,289
6,0.55,,,3,0.5837722577464204,-2.522963849957818,289
6,0.65,,,3,0.5837722577464204,-2.522963849957818,289
6,0.8,,,3,0.5837722577464204,-2.522963849957818,289
4,0.25,,,2,0.575310687787528,-2.532921193584632,444
7,0.45,,,3,0.6138242772963,-2.5733946349648757,246
3,0.4,,,3,0.5695136863872025,-2.5768553446864186,580
3,0.25,,,2,0.550596248179753,-2.581784605667622,578
6,0.35,,,2,0.5889184858843186,-2.599060280420211,286
6,0.3,,,2,0.5889184858843186,-2.599060280420211,286
8,0.25,,,2,0.5665430726412765,-2.633723414837073,210
4,0.6,,,2,0.5740394639599864,-2.6482931424445404,448
4,0.65,,,2,0.5740394639599864,-2.6482931424445404,448
4,0.7,,,2,0.5740394639599864,-2.6482931424445404,448
4,0.8,,,2,0.5740394639599864,-2.6482931424445404,448
4,0.75,,,2,0.5740394639599864,-2.6482931424445404,448
4,0.5,,,2,0.5740394639599864,-2.6482931424445404,448
4,0.55,,,2,0.5740394639599864,-2.6482931424445404,448
6,0.25,,,2,0.5668944865766289,-2.654142116852801,285
7,0.6,,,3,0.5931309195767414,-2.7093614126415986,247
7,0.5,,,3,0.5931309195767414,-2.7093614126415986,247
7,0.55,,,3,0.5931309195767414,-2.7093614126415986,247
7,0.65,,,3,0.5931309195767414,-2.7093614126415986,247
7,0.7,,,3,0.5931309195767414,-2.7093614126415986,247
7,0.75,,,3,0.5931309195767414,-2.7093614126415986,247
7,0.8,,,3,0.5931309195767414,-2.7093614126415986,247
2,0.25,,,2,0.5326466889309409,-2.721183857684996,812
8,0.3,,,2,0.5202547537173925,-2.7773328527305843,211
8,0.35,,,2,0.5202547537173925,-2.7773328527305843,211
3,0.35,,,2,0.5355844011962615,-2.7865000838181957,579
3,0.3,,,2,0.5355844011962615,-2.7865000838181957,579
10,0.35,,,3,0.5722135875755487,-2.793735574645568,160
10,0.3,,,3,0.5722135875755487,-2.793735574645568,160
2,0.8,,,3,0.5161189595555996,-2.8182388894379664,816
2,0.7,,,3,0.5161189595555996,-2.8182388894379664,816
2,0.65,,,3,0.5161189595555996,-2.8182388894379664,816
2,0.6,,,3,0.5161189595555996,-2.8182388894379664,816
2,0.55,,,3,0.5161189595555996,-2.8182388894379664,816
2,0.5,,,3,0.5161189595555996,-2.8182388894379664,816
2,0.75,,,3,0.5161189595555996,-2.8182388894379664,816
10,0.25,,,2,0.5728981683285839,-2.864849017919149,159
6,0.25,,,3,0.5868401997269671,-2.8670264222606296,285
4,0.45,,,3,0.5702823069595235,-2.870441925612695,447
6,0.45,,,3,0.5444638606661449,-2.898545228604848,288
5,0.3,,,2,0.5639396807162431,-2.9318421660401044,349
5,0.35,,,2,0.5639396807162431,-2.9318421660401044,349
2,0.45,,,3,0.5132058711643513,-2.9411792629778817,815
9,0.45,,,3,0.5584189378616521,-2.9763111170799044,182
4,0.65,,,3,0.5469458648102355,-2.984169208630647,448
4,0.75,,,3,0.5469458648102355,-2.984169208630647,448
4,0.55,,,3,0.5469458648102355,-2.984169208630647,448
4,0.5,,,3,0.5469458648102355,-2.984169208630647,448
4,0.6,,,3,0.5469458648102355,-2.984169208630647,448
4,0.8,,,3,0.5469458648102355,-2.984169208630647,448
4,0.7,,,3,0.5469458648102355,-2.984169208630647,448
8,0.45,,,3,0.5554608477691622,-3.0216699031346654,213
8,0.7,,,3,0.588048966993795,-3.0258301110269614,214
8,0.75,,,3,0.588048966993795,-3.0258301110269614,214
8,0.8,,,3,0.588048966993795,-3.0258301110269614,214
8,0.6,,,3,0.588048966993795,-3.0258301110269614,214
8,0.55,,,3,0.588048966993795,-3.0258301110269614,214
8,0.5,,,3,0.588048966993795,-3.0258301110269614,214
8,0.65,,,3,0.588048966993795,-3.0258301110269614,214
10,0.6,,,3,0.5270995120313382,-3.111003772207557,163
10,0.55,,,3,0.5270995120313382,-3.111003772207557,163
10,0.65,,,3,0.5270995120313382,-3.111003772207557,163
10,0.7,,,3,0.5270995120313382,-3.111003772207557,163
10,0.75,,,3,0.5270995120313382,-3.111003772207557,163
10,0.5,,,3,0.5270995120313382,-3.111003772207557,163
10,0.8,,,3,0.5270995120313382,-3.111003772207557,163
10,0.4,,,3,0.5623941660498405,-3.147184887278586,161
3,0.55,,,3,0.5153544621132252,-3.1580704538603275,582
3,0.75,,,3,0.5153544621132252,-3.1580704538603275,582
3,0.5,,,3,0.5153544621132252,-3.1580704538603275,582
3,0.65,,,3,0.5153544621132252,-3.1580704538603275,582
3,0.6,,,3,0.5153544621132252,-3.1580704538603275,582
3,0.8,,,3,0.5153544621132252,-3.1580704538603275,582
3,0.7,,,3,0.5153544621132252,-3.1580704538603275,582
9,0.5,,,3,0.5516066562995557,-3.1764419297966366,183
9,0.55,,,3,0.5516066562995557,-3.1764419297966366,183
9,0.6,,,3,0.5516066562995557,-3.1764419297966366,183
9,0.65,,,3,0.5516066562995557,-3.1764419297966366,183
9,0.7,,,3,0.5516066562995557,-3.1764419297966366,183
9,0.75,,,3,0.5516066562995557,-3.1764419297966366,183
9,0.8,,,3,0.5516066562995557,-3.1764419297966366,183
10,0.25,,,3,0.5457455371586637,-3.2487569096705236,159
9,0.4,,,3,0.5168958059194471,-3.259663476232444,181
10,0.45,,,3,0.5552579276793608,-3.2631896143687533,162
7,0.3,,,3,0.5723981176654412,-3.2958015443787008,244
7,0.35,,,3,0.5723981176654412,-3.2958015443787008,244
5,0.45,,,3,0.5420056687129806,-3.328588993430991,351
9,0.3,,,3,0.5178624166458398,-3.361330945176064,180
9,0.35,,,3,0.5178624166458398,-3.361330945176064,180
3,0.25,,,3,0.48866225795229906,-3.445727443844133,578
7,0.25,,,3,0.5357841712463721,-3.493618108587597,243
6,0.4,,,3,0.5022420114333871,-3.512837212288844,287
2,0.35,,,3,0.45402069377104604,-3.587448657223477,813
2,0.3,,,3,0.45402069377104604,-3.587448657223477,813
8,0.4,,,3,0.5244916616461116,-3.5975938557487783,212
4,0.4,,,3,0.5331466337962447,-3.6261141366852043,446
6,0.3,,,3,0.5087785141545278,-3.639588821666654,286
6,0.35,,,3,0.5087785141545278,-3.639588821666654,286
5,0.25,,,3,0.5271819196233082,-3.640732640784579,348
7,0.4,,,3,0.4908381603812786,-3.6541682899927523,245
8,0.25,,,3,0.5185625882754722,-3.688542800839111,210
2,0.4,,,4,0.4702138631625754,-3.750968465390998,814
3,0.35,,,3,0.5165251387536755,-3.772382896944764,579
3,0.3,,,3,0.5165251387536755,-3.772382896944764,579
5,0.35,,,3,0.48038957546502314,-3.8915845032777683,349
5,0.3,,,3,0.48038957546502314,-3.8915845032777683,349
8,0.35,,,3,0.5022499390355155,-3.985638555627904,211
8,0.3,,,3,0.5022499390355155,-3.985638555627904,211
7,0.55,,,4,0.46546683906767916,-3.995236167954343,247
7,0.6,,,4,0.46546683906767916,-3.995236167954343,247
7,0.65,,,4,0.46546683906767916,-3.995236167954343,247
7,0.7,,,4,0.46546683906767916,-3.995236167954343,247
7,0.75,,,4,0.46546683906767916,-3.995236167954343,247
7,0.8,,,4,0.46546683906767916,-3.995236167954343,247
7,0.5,,,4,0.46546683906767916,-3.995236167954343,247
2,0.4,,,3,0.48705422706972207,-4.1334150879903016,814
2,0.35,,,5,0.4763734849035897,-4.157163802940439,813
2,0.3,,,5,0.4763734849035897,-4.157163802940439,813
8,0.25,,,4,0.4814456138162143,-4.189926672344013,210
9,0.25,,,3,0.4439470009154065,-4.253992752164977,179
2,0.25,,,4,0.4910940905948668,-4.27936105017187,812
6,0.45,,,4,0.4762541337412161,-4.352366140036768,288
10,0.4,,,4,0.4441215627875955,-4.543180663205121,161
2,0.3,,,4,0.45377066324419996,-4.548244636354896,813
2,0.35,,,4,0.45377066324419996,-4.548244636354896,813
5,0.35,,,4,0.4602732771341814,-4.584575914230722,349
5,0.3,,,4,0.4602732771341814,-4.584575914230722,349
4,0.45,,,4,0.4844115968548529,-4.633259131812709,447
9,0.4,,,4,0.4071905592561402,-4.635057072955199,181
5,0.4,,,3,0.4933533354446035,-4.641827085281636,350
7,0.25,,,4,0.44565456186410723,-4.673934136365862,243
7,0.4,,,4,0.4686960806698749,-4.862781612229249,245
2,0.4,,,5,0.4175291541713387,-4.911425507874507,814
4,0.35,,,3,0.5136787040682388,-4.935061697175311,445
4,0.3,,,3,0.5136787040682388,-4.935061697175311,445
4,0.25,,,4,0.4706613634403065,-4.95461489991934,444
9,0.8,,,5,0.45893484205042745,-4.967539805612987,183
9,0.75,,,5,0.45893484205042745,-4.967539805612987,183
9,0.7,,,5,0.45893484205042745,-4.967539805612987,183
9,0.55,,,5,0.45893484205042745,-4.967539805612987,183
9,0.5,,,5,0.45893484205042745,-4.967539805612987,183
9,0.6,,,5,0.45893484205042745,-4.967539805612987,183
9,0.65,,,5,0.45893484205042745,-4.967539805612987,183
4,0.35,,,4,0.44722165140085873,-4.973238500382759,445
4,0.3,,,4,0.44722165140085873,-4.973238500382759,445
9,0.6,,,4,0.5120426789216095,-4.9817015814065355,183
9,0.5,,,4,0.5120426789216095,-4.9817015814065355,183
9,0.7,,,4,0.5120426789216095,-4.9817015814065355,183
9,0.55,,,4,0.5120426789216095,-4.9817015814065355,183
9,0.8,,,4,0.5120426789216095,-4.9817015814065355,183
9,0.65,,,4,0.5120426789216095,-4.9817015814065355,183
9,0.75,,,4,0.5120426789216095,-4.9817015814065355,183
9,0.45,,,4,0.48789223102153506,-5.024556674891768,182
3,0.45,,,5,0.4549672818330553,-5.030989982015515,581
7,0.45,,,4,0.45570652408830126,-5.073348041940749,246
7,0.35,,,4,0.43580471173071644,-5.1253568535926926,244
7,0.3,,,4,0.43580471173071644,-5.1253568535926926,244
3,0.4,,,4,0.4484527162444627,-5.12618052789484,580
4,0.7,,,4,0.4578343533094784,-5.161253669267426,448
4,0.55,,,4,0.4578343533094784,-5.161253669267426,448
4,0.6,,,4,0.4578343533094784,-5.161253669267426,448
4,0.8,,,4,0.4578343533094784,-5.161253669267426,448
4,0.5,,,4,0.4578343533094784,-5.161253669267426,448
4,0.75,,,4,0.4578343533094784,-5.161253669267426,448
4,0.65,,,4,0.4578343533094784,-5.161253669267426,448
4,0.25,,,3,0.4243400776732897,-5.275249878111386,444
10,0.35,,,4,0.44287232225271267,-5.281764660958724,160
10,0.3,,,4,0.44287232225271267,-5.281764660958724,160
4,0.4,,,4,0.47451299324492063,-5.2821521868054475,446
6,0.35,,,4,0.44300235218308603,-5.333094092573052,286
6,0.3,,,4,0.44300235218308603,-5.333094092573052,286
9,0.4,,,5,0.4248683286089216,-5.440676100267477,181
3,0.45,,,3,0.49431520079755026,-5.4432354546431725,581
4,0.45,,,5,0.43341621044366735,-5.463581811242812,447
6,0.65,,,4,0.4322594027496175,-5.494838117513586,289
6,0.8,,,4,0.4322594027496175,-5.494838117513586,289
6,0.5,,,4,0.4322594027496175,-5.494838117513586,289
6,0.75,,,4,0.4322594027496175,-5.494838117513586,289
6,0.55,,,4,0.4322594027496175,-5.494838117513586,289
6,0.7,,,4,0.4322594027496175,-5.494838117513586,289
6,0.6,,,4,0.4322594027496175,-5.494838117513586,289
5,0.35,,,5,0.4460774203473317,-5.541475495979596,349
5,0.3,,,5,0.4460774203473317,-5.541475495979596,349
10,0.4,,,5,0.43198867879395736,-5.62147004338852,161
9,0.25,,,4,0.4368578037132469,-5.635350985532222,179
9,0.3,,,4,0.4269131814671,-5.6384102862400525,180
9,0.35,,,4,0.4269131814671,-5.6384102862400525,180
3,0.3,,,4,0.4606070783169629,-5.656593785693078,579
3,0.35,,,4,0.4606070783169629,-5.656593785693078,579
3,0.35,,,5,0.3983621342448648,-5.659327239705037,579
3,0.3,,,5,0.3983621342448648,-5.659327239705037,579
2,0.45,,,4,0.4062786079177778,-5.685517621780119,815
3,0.6,,,4,0.4561633433873193,-5.776283091121859,582
3,0.8,,,4,0.4561633433873193,-5.776283091121859,582
3,0.5,,,4,0.4561633433873193,-5.776283091121859,582
3,0.75,,,4,0.4561633433873193,-5.776283091121859,582
3,0.65,,,4,0.4561633433873193,-5.776283091121859,582
3,0.55,,,4,0.4561633433873193,-5.776283091121859,582
3,0.7,,,4,0.4561633433873193,-5.776283091121859,582
10,0.8,,,5,0.4417869171642371,-5.805574328712162,163
10,0.75,,,5,0.4417869171642371,-5.805574328712162,163
10,0.6,,,5,0.4417869171642371,-5.805574328712162,163
10,0.65,,,5,0.4417869171642371,-5.805574328712162,163
10,0.5,,,5,0.4417869171642371,-5.805574328712162,163
10,0.55,,,5,0.4417869171642371,-5.805574328712162,163
10,0.7,,,5,0.4417869171642371,-5.805574328712162,163
10,0.25,,,5,0.4277816349819178,-5.844655582838278,159
10,0.25,,,4,0.45804662548914954,-5.938706999905358,159
4,0.4,,,5,0.4359754076694514,-5.943174439805581,446
10,0.8,,,8,0.43243868560254917,-5.951789015620297,163
10,0.5,,,8,0.43243868560254917,-5.951789015620297,163
10,0.65,,,8,0.43243868560254917,-5.951789015620297,163
10,0.55,,,8,0.43243868560254917,-5.951789015620297,163
10,0.75,,,8,0.43243868560254917,-5.951789015620297,163
10,0.6,,,8,0.43243868560254917,-5.951789015620297,163
10,0.7,,,8,0.43243868560254917,-5.951789015620297,163
5,0.45,,,4,0.39684975821690494,-5.964521266885816,351
7,0.8,,,6,0.3989265667560389,-5.994577045728579,247
7,0.65,,,6,0.3989265667560389,-5.994577045728579,247
7,0.7,,,6,0.3989265667560389,-5.994577045728579,247
7,0.5,,,6,0.3989265667560389,-5.994577045728579,247
7,0.6,,,6,0.3989265667560389,-5.994577045728579,247
7,0.75,,,6,0.3989265667560389,-5.994577045728579,247
7,0.55,,,6,0.3989265667560389,-5.994577045728579,247
10,0.8,,,4,0.4083784073564439,-6.0062877501074,163
10,0.5,,,4,0.4083784073564439,-6.0062877501074,163
10,0.7,,,4,0.4083784073564439,-6.0062877501074,163
10,0.75,,,4,0.4083784073564439,-6.0062877501074,163
10,0.6,,,4,0.4083784073564439,-6.0062877501074,163
10,0.55,,,4,0.4083784073564439,-6.0062877501074,163
10,0.65,,,4,0.4083784073564439,-6.0062877501074,163
10,0.35,,,5,0.43356514126517265,-6.01412494836553,160
10,0.3,,,5,0.43356514126517265,-6.01412494836553,160
6,0.45,,,5,0.4179177986521691,-6.044032489710554,288
10,0.45,,,4,0.41718018494645215,-6.052019903991142,162
8,0.45,,,5,0.4064517023373746,-6.083417638671564,213
2,0.25,,,5,0.386466217490351,-6.094005464977608,812
9,0.45,,,6,0.3964723103574619,-6.102355070861038,182
6,0.4,,,4,0.5026523135824759,-6.119410113332658,287
8,0.45,,,4,0.43141715453331575,-6.121351100302773,213
8,0.35,,,4,0.4654793904731084,-6.121393408622275,211
8,0.3,,,4,0.4654793904731084,-6.121393408622275,211
9,0.25,,,5,0.4560386032630623,-6.126157051479327,179
2,0.8,,,4,0.379000472116549,-6.141621634242718,816
2,0.7,,,4,0.379000472116549,-6.141621634242718,816
2,0.55,,,4,0.379000472116549,-6.141621634242718,816
2,0.75,,,4,0.379000472116549,-6.141621634242718,816
2,0.5,,,4,0.379000472116549,-6.141621634242718,816
2,0.65,,,4,0.379000472116549,-6.141621634242718,816
2,0.6,,,4,0.379000472116549,-6.141621634242718,816
5,0.75,,,3,0.47299882087050565,-6.149760648958185,352
5,0.5,,,3,0.47299882087050565,-6.149760648958185,352
5,0.6,,,3,0.47299882087050565,-6.149760648958185,352
5,0.7,,,3,0.47299882087050565,-6.149760648958185,352
5,0.55,,,3,0.47299882087050565,-6.149760648958185,352
5,0.8,,,3,0.47299882087050565,-6.149760648958185,352
5,0.65,,,3,0.47299882087050565,-6.149760648958185,352
3,0.25,,,4,0.4251636287055079,-6.257766528959005,578
8,0.4,,,5,0.44613664202117176,-6.279752992531952,212
5,0.45,,,5,0.44136985013398544,-6.288646300698151,351
8,0.25,,,6,0.4274752994355333,-6.362817524591077,210
8,0.6,,,4,0.40624460388099226,-6.36992210261898,214
8,0.65,,,4,0.40624460388099226,-6.36992210261898,214
8,0.75,,,4,0.40624460388099226,-6.36992210261898,214
8,0.8,,,4,0.40624460388099226,-6.36992210261898,214
8,0.55,,,4,0.40624460388099226,-6.36992210261898,214
8,0.5,,,4,0.40624460388099226,-6.36992210261898,214
8,0.7,,,4,0.40624460388099226,-6.36992210261898,214
7,0.3,,,5,0.3965766112445056,-6.389419114419178,244
7,0.35,,,5,0.3965766112445056,-6.389419114419178,244
9,0.45,,,5,0.4497830604472524,-6.412920247153437,182
8,0.4,,,4,0.4698942958004841,-6.4504715681277265,212
3,0.4,,,5,0.4315470917857224,-6.459697852957572,580
7,0.55,,,7,0.3897681335874314,-6.535730361098908,247
7,0.8,,,7,0.3897681335874314,-6.535730361098908,247
7,0.5,,,7,0.3897681335874314,-6.535730361098908,247
7,0.65,,,7,0.3897681335874314,-6.535730361098908,247
7,0.7,,,7,0.3897681335874314,-6.535730361098908,247
7,0.75,,,7,0.3897681335874314,-6.535730361098908,247
7,0.6,,,7,0.3897681335874314,-6.535730361098908,247
2,0.3,,,6,0.4394678084410743,-6.550740853217107,813
2,0.35,,,6,0.4394678084410743,-6.550740853217107,813
7,0.45,,,5,0.40119670140143293,-6.55555892125895,246
6,0.45,,,6,0.4181226840974803,-6.564408680343308,288
5,0.25,,,4,0.44723358665722346,-6.576209748298981,348
2,0.25,,,6,0.4050738196481558,-6.626912264290546,812
4,0.45,,,6,0.40950619520002873,-6.633991462530627,447
2,0.45,,,5,0.4129263522628195,-6.6388725440183,815
10,0.75,,,7,0.383517296887457,-6.655669678297906,163
10,0.6,,,7,0.383517296887457,-6.655669678297906,163
10,0.55,,,7,0.383517296887457,-6.655669678297906,163
