max_features,ngram_range,min_df,max_df,stop_words,strip_accents,lowercase,init,n_init,max_iter,n_clusters,random_state,inertia,silhouette
100,"(1, 3)",3,0.35,english,ascii,True,k-means++,10,1000,13,100,331.25733403526255,0.04421522662243878
100,"(1, 3)",3,0.35,english,ascii,True,k-means++,10,1000,14,100,321.7728362077533,0.0632127294794614
100,"(1, 3)",3,0.35,english,ascii,True,k-means++,10,1000,15,100,322.6962207999655,0.04804848038560642
100,"(1, 3)",3,0.35,english,ascii,True,k-means++,10,1000,16,100,320.84422003241434,0.06580229971349723
100,"(1, 3)",3,0.35,english,ascii,True,k-means++,10,1000,17,100,316.22340914176954,0.05509782262602404
100,"(1, 3)",3,0.35,english,ascii,True,k-means++,10,1000,18,100,313.29022956722224,0.05653318397199736
100,"(1, 3)",3,0.35,english,ascii,True,k-means++,10,1000,19,100,306.9356977993659,0.06598937374683213
100,"(1, 3)",3,0.35,english,ascii,True,k-means++,10,1000,20,100,309.0227174211242,0.059154447915244476
100,"(1, 3)",3,0.4,english,ascii,True,k-means++,10,1000,2,100,388.5617778934994,0.033443182720071976
100,"(1, 3)",3,0.4,english,ascii,True,k-means++,10,1000,3,100,378.0105651606716,0.04030542956227087
100,"(1, 3)",3,0.4,english,ascii,True,k-means++,10,1000,4,100,367.269832520108,0.04792740454755847
100,"(1, 3)",3,0.4,english,ascii,True,k-means++,10,1000,5,100,359.377076352642,0.05238478652935099
100,"(1, 3)",3,0.4,english,ascii,True,k-means++,10,1000,6,100,354.7181387610599,0.05283010005084484
100,"(1, 3)",3,0.4,english,ascii,True,k-means++,10,1000,7,100,347.98117713259745,0.058495103137105715
100,"(1, 3)",3,0.4,english,ascii,True,k-means++,10,1000,8,100,348.6104892336909,0.0415284485248569
100,"(1, 3)",3,0.4,english,ascii,True,k-means++,10,1000,9,100,339.8689473258838,0.05628775025227436
100,"(1, 3)",3,0.4,english,ascii,True,k-means++,10,1000,10,100,334.42808940490784,0.06573639744755906
100,"(1, 3)",3,0.4,english,ascii,True,k-means++,10,1000,11,100,330.7993788116609,0.062267529652053434
100,"(1, 3)",3,0.4,english,ascii,True,k-means++,10,1000,12,100,325.2059163430173,0.0667817147421339
100,"(1, 3)",3,0.4,english,ascii,True,k-means++,10,1000,13,100,325.9862907912748,0.04283750417569186
100,"(1, 3)",3,0.4,english,ascii,True,k-means++,10,1000,14,100,318.5272543689155,0.06734881091277042
100,"(1, 3)",3,0.4,english,ascii,True,k-means++,10,1000,15,100,321.1676351973795,0.04385632776859251
100,"(1, 3)",3,0.4,english,ascii,True,k-means++,10,1000,16,100,314.5362376202084,0.06844925660009853
100,"(1, 3)",3,0.4,english,ascii,True,k-means++,10,1000,17,100,308.0363869444492,0.07459080936854673
100,"(1, 3)",3,0.4,english,ascii,True,k-means++,10,1000,18,100,303.7231834355263,0.07193415204053479
100,"(1, 3)",3,0.4,english,ascii,True,k-means++,10,1000,19,100,300.4895959196498,0.07319416002465905
100,"(1, 3)",3,0.4,english,ascii,True,k-means++,10,1000,20,100,302.49598203931953,0.06768814433689581
100,"(1, 3)",3,0.45,english,ascii,True,k-means++,10,1000,2,100,379.94991411237027,0.042739259268188765
100,"(1, 3)",3,0.45,english,ascii,True,k-means++,10,1000,3,100,369.81094701135305,0.04702818002920028
100,"(1, 3)",3,0.45,english,ascii,True,k-means++,10,1000,4,100,359.83503036785004,0.05347691394552426
100,"(1, 3)",3,0.45,english,ascii,True,k-means++,10,1000,5,100,352.2651004250483,0.057515693662468524
100,"(1, 3)",3,0.45,english,ascii,True,k-means++,10,1000,6,100,347.29653118606484,0.057828412293380684
100,"(1, 3)",3,0.45,english,ascii,True,k-means++,10,1000,7,100,342.4757677146872,0.05294346122605177
100,"(1, 3)",3,0.45,english,ascii,True,k-means++,10,1000,8,100,336.42926134141237,0.06555280803587975
100,"(1, 3)",3,0.45,english,ascii,True,k-means++,10,1000,9,100,334.6713276450802,0.06059918998168377
100,"(1, 3)",3,0.45,english,ascii,True,k-means++,10,1000,10,100,328.8946233794919,0.062020306467024784
100,"(1, 3)",3,0.45,english,ascii,True,k-means++,10,1000,11,100,323.5229978521994,0.06908549148383027
100,"(1, 3)",3,0.45,english,ascii,True,k-means++,10,1000,12,100,321.3913181296756,0.06381996971290918
100,"(1, 3)",3,0.45,english,ascii,True,k-means++,10,1000,13,100,314.84186456727923,0.06649587352838472
100,"(1, 3)",3,0.45,english,ascii,True,k-means++,10,1000,14,100,311.2662648414659,0.07555289438981447
100,"(1, 3)",3,0.45,english,ascii,True,k-means++,10,1000,15,100,305.4062847134996,0.07639563409971441
100,"(1, 3)",3,0.45,english,ascii,True,k-means++,10,1000,16,100,305.6533122028119,0.07499565472061731
100,"(1, 3)",3,0.45,english,ascii,True,k-means++,10,1000,17,100,300.9872457146794,0.07805853379718256
100,"(1, 3)",3,0.45,english,ascii,True,k-means++,10,1000,18,100,299.5712717090827,0.07133498781596126
100,"(1, 3)",3,0.45,english,ascii,True,k-means++,10,1000,19,100,297.403324785618,0.06858416127003254
100,"(1, 3)",3,0.45,english,ascii,True,k-means++,10,1000,20,100,292.6849506504969,0.07926526334768427
100,"(1, 3)",3,0.5,english,ascii,True,k-means++,10,1000,2,100,379.94991411237027,0.042739259268188765
100,"(1, 3)",3,0.5,english,ascii,True,k-means++,10,1000,3,100,369.81094701135305,0.04702818002920028
100,"(1, 3)",3,0.5,english,ascii,True,k-means++,10,1000,4,100,359.83503036785004,0.05347691394552426
100,"(1, 3)",3,0.5,english,ascii,True,k-means++,10,1000,5,100,352.2651004250483,0.057515693662468524
100,"(1, 3)",3,0.5,english,ascii,True,k-means++,10,1000,6,100,347.29653118606484,0.057828412293380684
100,"(1, 3)",3,0.5,english,ascii,True,k-means++,10,1000,7,100,342.4757677146872,0.05294346122605177
100,"(1, 3)",3,0.5,english,ascii,True,k-means++,10,1000,8,100,336.42926134141237,0.06555280803587975
100,"(1, 3)",3,0.5,english,ascii,True,k-means++,10,1000,9,100,334.6713276450802,0.06059918998168377
100,"(1, 3)",3,0.5,english,ascii,True,k-means++,10,1000,10,100,328.8946233794919,0.062020306467024784
100,"(1, 3)",3,0.5,english,ascii,True,k-means++,10,1000,11,100,323.5229978521994,0.06908549148383027
100,"(1, 3)",3,0.5,english,ascii,True,k-means++,10,1000,12,100,321.3913181296756,0.06381996971290918
100,"(1, 3)",3,0.5,english,ascii,True,k-means++,10,1000,13,100,314.84186456727923,0.06649587352838472
100,"(1, 3)",3,0.5,english,ascii,True,k-means++,10,1000,14,100,311.2662648414659,0.07555289438981447
100,"(1, 3)",3,0.5,english,ascii,True,k-means++,10,1000,15,100,305.4062847134996,0.07639563409971441
100,"(1, 3)",3,0.5,english,ascii,True,k-means++,10,1000,16,100,305.6533122028119,0.07499565472061731
100,"(1, 3)",3,0.5,english,ascii,True,k-means++,10,1000,17,100,300.9872457146794,0.07805853379718256
100,"(1, 3)",3,0.5,english,ascii,True,k-means++,10,1000,18,100,299.5712717090827,0.07133498781596126
100,"(1, 3)",3,0.5,english,ascii,True,k-means++,10,1000,19,100,297.403324785618,0.06858416127003254
100,"(1, 3)",3,0.5,english,ascii,True,k-means++,10,1000,20,100,292.6849506504969,0.07926526334768427
100,"(1, 3)",3,0.55,english,ascii,True,k-means++,10,1000,2,100,379.94991411237027,0.042739259268188765
100,"(1, 3)",3,0.55,english,ascii,True,k-means++,10,1000,3,100,369.81094701135305,0.04702818002920028
100,"(1, 3)",3,0.55,english,ascii,True,k-means++,10,1000,4,100,359.83503036785004,0.05347691394552426
100,"(1, 3)",3,0.55,english,ascii,True,k-means++,10,1000,5,100,352.2651004250483,0.057515693662468524
100,"(1, 3)",3,0.55,english,ascii,True,k-means++,10,1000,6,100,347.29653118606484,0.057828412293380684
100,"(1, 3)",3,0.55,english,ascii,True,k-means++,10,1000,7,100,342.4757677146872,0.05294346122605177
100,"(1, 3)",3,0.55,english,ascii,True,k-means++,10,1000,8,100,336.42926134141237,0.06555280803587975
100,"(1, 3)",3,0.55,english,ascii,True,k-means++,10,1000,9,100,334.6713276450802,0.06059918998168377
100,"(1, 3)",3,0.55,english,ascii,True,k-means++,10,1000,10,100,328.8946233794919,0.062020306467024784
100,"(1, 3)",3,0.55,english,ascii,True,k-means++,10,1000,11,100,323.5229978521994,0.06908549148383027
100,"(1, 3)",3,0.55,english,ascii,True,k-means++,10,1000,12,100,321.3913181296756,0.06381996971290918
100,"(1, 3)",3,0.55,english,ascii,True,k-means++,10,1000,13,100,314.84186456727923,0.06649587352838472
100,"(1, 3)",3,0.55,english,ascii,True,k-means++,10,1000,14,100,311.2662648414659,0.07555289438981447
100,"(1, 3)",3,0.55,english,ascii,True,k-means++,10,1000,15,100,305.4062847134996,0.07639563409971441
100,"(1, 3)",3,0.55,english,ascii,True,k-means++,10,1000,16,100,305.6533122028119,0.07499565472061731
100,"(1, 3)",3,0.55,english,ascii,True,k-means++,10,1000,17,100,300.9872457146794,0.07805853379718256
100,"(1, 3)",3,0.55,english,ascii,True,k-means++,10,1000,18,100,299.5712717090827,0.07133498781596126
100,"(1, 3)",3,0.55,english,ascii,True,k-means++,10,1000,19,100,297.403324785618,0.06858416127003254
100,"(1, 3)",3,0.55,english,ascii,True,k-means++,10,1000,20,100,292.6849506504969,0.07926526334768427
100,"(1, 3)",3,0.6,english,ascii,True,k-means++,10,1000,2,100,379.94991411237027,0.042739259268188765
100,"(1, 3)",3,0.6,english,ascii,True,k-means++,10,1000,3,100,369.81094701135305,0.04702818002920028
100,"(1, 3)",3,0.6,english,ascii,True,k-means++,10,1000,4,100,359.83503036785004,0.05347691394552426
100,"(1, 3)",3,0.6,english,ascii,True,k-means++,10,1000,5,100,352.2651004250483,0.057515693662468524
100,"(1, 3)",3,0.6,english,ascii,True,k-means++,10,1000,6,100,347.29653118606484,0.057828412293380684
100,"(1, 3)",3,0.6,english,ascii,True,k-means++,10,1000,7,100,342.4757677146872,0.05294346122605177
100,"(1, 3)",3,0.6,english,ascii,True,k-means++,10,1000,8,100,336.42926134141237,0.06555280803587975
100,"(1, 3)",3,0.6,english,ascii,True,k-means++,10,1000,9,100,334.6713276450802,0.06059918998168377
100,"(1, 3)",3,0.6,english,ascii,True,k-means++,10,1000,10,100,328.8946233794919,0.062020306467024784
100,"(1, 3)",3,0.6,english,ascii,True,k-means++,10,1000,11,100,323.5229978521994,0.06908549148383027
100,"(1, 3)",3,0.6,english,ascii,True,k-means++,10,1000,12,100,321.3913181296756,0.06381996971290918
100,"(1, 3)",3,0.6,english,ascii,True,k-means++,10,1000,13,100,314.84186456727923,0.06649587352838472
100,"(1, 3)",3,0.6,english,ascii,True,k-means++,10,1000,14,100,311.2662648414659,0.07555289438981447
100,"(1, 3)",3,0.6,english,ascii,True,k-means++,10,1000,15,100,305.4062847134996,0.07639563409971441
100,"(1, 3)",3,0.6,english,ascii,True,k-means++,10,1000,16,100,305.6533122028119,0.07499565472061731
100,"(1, 3)",3,0.6,english,ascii,True,k-means++,10,1000,17,100,300.9872457146794,0.07805853379718256
