k,inertia,silhouette
2,262.37249755859375,0.24797692894935608
3,250.1220703125,0.1149916797876358
4,241.98605346679688,0.1174236461520195
5,234.58383178710938,0.07544171810150146
6,230.6088104248047,0.07449571788311005
7,227.162841796875,0.05877240374684334
8,224.4869384765625,0.043456826359033585
9,222.3009490966797,0.04874169081449509
10,219.4793701171875,0.07462964951992035
11,217.3340606689453,0.0733848288655281
12,214.93246459960938,0.05912379175424576
13,213.6321563720703,0.017063364386558533
14,212.3445587158203,0.021359695121645927
15,210.69979858398438,0.05034506693482399
16,207.997314453125,0.046125322580337524
17,207.0170135498047,0.0715634748339653
18,205.43344116210938,0.026724714785814285
19,203.88162231445312,0.02359141781926155
20,202.56056213378906,0.023736294358968735
21,200.69703674316406,0.0556623712182045
22,198.9594268798828,0.03923020511865616
23,198.6329345703125,0.065653495490551
24,197.4378662109375,0.03650249168276787
25,197.19415283203125,0.047508999705314636
26,194.70449829101562,0.05158659815788269
27,192.51226806640625,0.0603988878428936
28,191.60205078125,0.050178173929452896
29,191.970947265625,0.055029433220624924
30,189.672119140625,0.05017055943608284
31,189.02117919921875,0.06312038004398346
32,187.1441650390625,0.0462837815284729
33,185.686767578125,0.054192591458559036
34,185.38160705566406,0.06273352354764938
35,185.1211395263672,0.053138088434934616
36,182.66261291503906,0.06232931464910507
37,181.51092529296875,0.06193675845861435
38,181.62481689453125,0.03885865956544876
39,180.44668579101562,0.052430808544158936
40,178.94961547851562,0.05563025921583176
41,177.80323791503906,0.05771784111857414
42,177.15890502929688,0.04468019679188728
43,177.34690856933594,0.05111554637551308
44,174.97628784179688,0.044431451708078384
45,174.22979736328125,0.05468873307108879
46,173.708251953125,0.042379532009363174
47,172.03485107421875,0.05965689197182655
48,171.85488891601562,0.04488638788461685
49,170.24191284179688,0.05526791140437126
50,169.49319458007812,0.05126764997839928
